nome;contato;responsavel;valor;data_inicio;rede_social;origem;indicado_por;setor_indicado;plano;pipeline;observacoes;source_file;source_sheet;source_group;source_row
Real Ar-Condicionado automotivo;64993240419;;;2024-09-10;Field Sales;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Raylane - RH | Detalhes: Não demonstra interesse | Status 1: Enviamos mensagem para tentar apresentar o plano, responderam que nesse momento não tem interesse.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;25
RIVERLATAS;64999884176;;;2024-09-10;Field Sales;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Givago - Proprietário | Detalhes: Não demonstra interesse | Status 1: Enviado proposta para o GIVAGO, apresentado o plano, porém demonstrou pouco interesse no plano.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;26
Helen Joias e SemiJoias;6421422290;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Status 1: Vai falar com a proprietária;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;27
Ciclone Produtos De Limpeza;6436132148;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Contato pessoa: Jully Proprietária | Status 1: Marcamos com a cliente para quando chegar de viagem, apresentar o plano para ela, tem 7 colaboradores;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;28
Multilimp;6430504699;;;2024-08-06;;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas);Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;29
AUTORIO VEICULOS;6421015100;;;2024-08-09;Field Sales;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: ALCEU/ ARCELIO/FRANCIELLE MENDONCA DOS SANTOS(PROCURADORA) | Detalhes: Enviar e-mail dia 10/08/2024 | Status 1: Falamos com a Vera, Coordenadora de RH, pediu para enviar e-mail para marcar um bate papo sobre o plano.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;30
KABEDAL CALCADOS E ESPORTIVA;6436210305;;;2024-08-08;Field Sales;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: GERALDO AFONSO DE GOUVEIA | Status 1: Falamos com a Patricia, ela passou o contato do Lazaro Gerente, vamos ligar na segunda feira;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;31
VILLAGE;6436213560;;;2024-08-09;Field Sales;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: ALECIO WAGNER DUARTE PIRES/ABILIO CABRAL DA SILVA | Status 1: Falamos com a Poliana, ela passou o contato do Ronimar Supervisor Administrativo, enviamos mensagem aguardando resposta.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;32
RODO JUNIOR;6492244352;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Contato pessoa: Karina | Status 1: Realizado novo contato, com a responsável pelo administrativo Karina, ainda não respondeu sobre o agendamento da apresentação.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;33
SEMENTES SÃO FRANCISCO;6421012942;;;2024-08-07;Field Sales;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Alex | Status 1: Em contato com o responsável pelo RH, estamos conversando para marcar com eles, para apresentar nosso plano empresarial.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;34
NASA CAMINHÕES;6436116000;;;2024-08-06;Field Sales;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: ARISTARCHO GONCALVES DE MELO | Detalhes: Enviado e-mail no dia 31.07 | Status 1: Falado com Geovana RH local, solicitou que material explicativo, para compartilhar com a central em Goiânia.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;35
Pede Açaí;6492200954;;;2024-08-06;Mensagem;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Mensagem | Cidade: RIO VERDE | Contato pessoa: Mensagem | Status 1: Não respondeu se tem interesse;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;36
IMOBILIARIA LION;6430553934;;;2024-08-09;Field Sales;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: DANIELLE LEAO PROTO | Detalhes: Ligar na semana que vem 12.08.2024 | Status 1: Falamos com o Jeferson - Ligar segunda para ver se a Daniele já chegou de Goiânia;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;37
SICOOB UNISAUDE GOIAS;6436235259;;;2024-08-09;Field Sales;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: PAULO ROBERTO DA SILVA | Detalhes: Tentar falar com algum colaborador | Status 1: Não conseguimos contato via fone, não atende.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;38
PREMIUM NEGOCIOS IMOBILIARIOS;6436239991;;;2024-08-09;Field Sales;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: JOAO VITOR CINTRA SIELKIS | Status 1: Não conseguimos contato via fone, não atende.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;39
BOMBAS & CIA MANUTENCOES HIDRAULICAS;6436221466;;;2024-08-09;Field Sales;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: MARCOS MENDES DE SOUZA | Status 1: Ligar na segunda feira 12.08.2024;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;41
CONTE AERO;6436232094;;;2024-08-09;Field Sales;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: DORIVAL CONTE | Status 1: Não conseguimos contato via fone, não atende.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;42
N TENDAS;6436126666;;;2024-08-09;Field Sales;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: JULIANA MAFFEI GAGLIARDI | Status 1: Falamos com o Carlos Henrique, disse não ter interesse;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;43
MEL E LIMAO;6436212195;;;2024-08-07;Field Sales;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: MARIA SUELI CARRARA DO AMARAL | Detalhes: Fazer visita no bairro Popular | Status 1: Não conseguimos contato via fone, não atende.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;44
Farmácia Artesanal;64999372244;;;2024-08-06;Ligação/Mensagem;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Ligação/Mensagem | Cidade: RIO VERDE | Contato pessoa: Vânia / Marcelo - 99977-2439 | Status 1: Ligamos e falamos com a Vânia, ela passou o contato do Proprietário Marcelo.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;45
Online Truck Center;6492513627;;;2024-08-06;Ligação / Mensagem;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Ligação / Mensagem | Cidade: RIO VERDE | Contato pessoa: Jaqueline | Status 1: Ligamos e falamos com a Secretária, ela passou o telefone da Jaqueline, proprietária.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;46
Rosa (Supermercado);6430501337;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Contato pessoa: Roberto | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;47
Real (Supermercado);6436216917;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;48
Julião (Supermercado);6436132248;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;49
Super Max (Supermercado);6436235958;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;50
Mega (Supermercado);6436123270;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;51
Sierra Frios e Embalagens;6436131224;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;52
União (Supermercado);6436123051;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;53
Comercial Costa;6436239393;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;54
Nobre (Supermercado);6499026998;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;55
Prime (Supermercado);6493002483;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;56
Dinamite (Supermercado) Marcel;64999870221;;;2024-08-06;Telef/Mensagem;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Telef/Mensagem | Cidade: RIO VERDE | Contato pessoa: Marciel | Status 1: Ligamos não atendeu, enviamos mensagem falando sobre a campanha que estamos fazendo;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;57
Empório MM;64999788893;;;2024-08-07;Ligação / Mensagem;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Ligação / Mensagem | Cidade: RIO VERDE | Contato pessoa: Milo | Status 1: Ligamos para falar sobre a campanha e o mesmo não atendeu, enviei mensagem estamos aguardando retorno,;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;58
Rio Tropical Transportes;6436210512;;;2024-08-06;Mensagem;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Mensagem | Cidade: RIO VERDE | Status 1: Ligamos e o responsavel não estava, enviamos mensagens para ele falando da campanha.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;59
Ponto Net;64984132020;;;2024-08-06;Ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Ligação | Cidade: RIO VERDE | Contato pessoa: Cley Sandro | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;60
Criatec;6436221571;;;2024-01-01;;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas);Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;61
Farmácia do Povo;6436238118;;;2024-08-06;Mensagem;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Mensagem | Cidade: RIO VERDE | Status 1: Enviamos mensagem solicitando o contato do RH, aguardando retorno.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;62
Dfibra;6436134752;;;2024-08-01;;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Lara (Atendente) | Status 1: Ligamos e falamos com a Lara, ela passou o contato do proprietário, vamos entrar em contato e tentar marcar com ele.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;63
Jeomaq Fabricação De Telas;64992637170;;;2024-08-01;;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Anna (Proprietária) | Detalhes: Não tem interesse | Status 1: Ligamos e falamos com a Ana proprietária, para marcar um horário para apresentar, porém nesse momento eles não tem interesse.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;64
Casa Da Limpeza;6436215069;;;2024-08-01;;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Rodrigo/Leonardo | Detalhes: Não tem interesse | Status 1: Ligamos e falamos com o Leonardo proprietário, para marcar um horário, porém não tem interesse.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;65
Torneadora Brasil;64993275244;;;2024-08-01;;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Detalhes: Aguardando resposta | Status 1: Não atendeu o telefone, enviamos mensagem;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;66
Agrideia Mec De Precisão;6436120699;;;2024-08-01;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Jessica | Detalhes: Ligar mais tarde | Status 1: Falamos com e Jessica atendente, os proprietários não estavam.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;67
